Ref,Val,Package,PosX,PosY,Rot,Side
"C46","10nF","C_0201_0603Metric",217.500000,-57.000000,-90.000000,top
"C47","10nF","C_0201_0603Metric",217.500000,-58.500000,-90.000000,top
"C49","10uF","C_0201_0603Metric",224.000000,-61.000000,90.000000,top
"D1","GREEN","LED_0603_1608Metric",174.212500,-65.000000,180.000000,top
"D2","GREEN","LED_0603_1608Metric",168.787500,-98.000000,0.000000,top
"D3","LED","LED_0603_1608Metric",250.500000,-96.500000,90.000000,top
"D4","LED","LED_0603_1608Metric",252.500000,-96.500000,-90.000000,top
"D5","LED","LED_0603_1608Metric",248.500000,-96.500000,-90.000000,top
"FB2","FerriteBead","BEADC1608X95N",161.087500,-85.765000,90.000000,top
"FL1","DLW32MH101XT2L","FIL_DLW32MH101XT2L",229.475000,-77.446400,0.000000,top
"FL3","BLM18KG601SH1D","BEADC1608X95N",221.500000,-58.000000,180.000000,top
"J2","Conn_01x08","PinHeader_1x08_P2.00mm_Horizontal",215.000000,-99.000000,-90.000000,top
"J4","UJ31-CH-3-SMT-TR","CUI_UJ31-CH-3-SMT-TR",157.075000,-73.900000,-90.000000,top
"L1","3.3uH","L_Wurth_WE-LQSH-3012",194.500000,-59.175000,-90.000000,top
"L2","2.2uH","L_1008_2520Metric",171.000000,-90.075000,-90.000000,top
"R2","10k","R_0805_2012Metric",159.587500,-90.000000,0.000000,top
"R3","10k","R_0805_2012Metric",195.912500,-63.500000,180.000000,top
"R4","1k","R_0805_2012Metric",170.587500,-65.000000,0.000000,top
"R5","10k","R_0805_2012Metric",183.587500,-63.000000,180.000000,top
"R6","12k","R_0402_1005Metric",185.000000,-83.510000,90.000000,top
"R8","2k","R_0402_1005Metric",197.510000,-80.500000,180.000000,top
"R9","100k","R_0805_2012Metric",170.912500,-86.500000,0.000000,top
"R11","470k","R_0805_2012Metric",168.412500,-94.000000,0.000000,top
"R12","150k","R_0805_2012Metric",163.912500,-94.000000,0.000000,top
